student_id,cluster,risk_category,mentor_id,mentor_name,assignment_status
S001,0,Yellow,M001,Dr. Sharma,Assigned
S002,0,Yellow,M001,Dr. Sharma,Assigned
S003,0,Yellow,M001,Dr. Sharma,Assigned
S004,0,Yellow,M001,Dr. Sharma,Assigned
S005,0,Yellow,M001,Dr. Sharma,Assigned
S006,0,Yellow,M001,Dr. Sharma,Assigned
S007,0,Yellow,M001,Dr. Sharma,Assigned
S008,0,Yellow,M001,Dr. Sharma,Assigned
S009,0,Yellow,M001,Dr. Sharma,Assigned
S010,0,Yellow,M001,Dr. Sharma,Assigned
S011,0,Yellow,M001,Dr. Sharma,Assigned
S012,0,Yellow,M001,Dr. Sharma,Assigned
S013,0,Yellow,M001,Dr. Sharma,Assigned
S014,0,Yellow,M001,Dr. Sharma,Assigned
S015,0,Yellow,M001,Dr. Sharma,Assigned
S016,0,Yellow,M005,Ms. Rao,Assigned
S017,0,Yellow,M005,Ms. Rao,Assigned
S018,0,Yellow,M005,Ms. Rao,Assigned
S019,0,Yellow,M005,Ms. Rao,Assigned
S020,0,Yellow,M005,Ms. Rao,Assigned
S021,0,Yellow,M005,Ms. Rao,Assigned
S022,0,Yellow,M005,Ms. Rao,Assigned
S023,0,Yellow,M005,Ms. Rao,Assigned
S024,0,Yellow,M005,Ms. Rao,Assigned
S025,0,Yellow,M005,Ms. Rao,Assigned
S026,0,Yellow,M005,Ms. Rao,Assigned
S027,0,Yellow,M005,Ms. Rao,Assigned
S028,0,Yellow,M005,Ms. Rao,Assigned
S029,0,Yellow,M005,Ms. Rao,Assigned
S030,0,Yellow,M005,Ms. Rao,Assigned
S031,0,Yellow,M005,Ms. Rao,Assigned
S032,0,Yellow,M002,Ms. Kapoor,Assigned
S033,0,Yellow,M002,Ms. Kapoor,Assigned
S034,0,Yellow,M002,Ms. Kapoor,Assigned
S035,0,Yellow,M002,Ms. Kapoor,Assigned
S036,0,Yellow,M002,Ms. Kapoor,Assigned
S037,0,Yellow,M002,Ms. Kapoor,Assigned
S038,0,Yellow,M002,Ms. Kapoor,Assigned
S039,0,Yellow,M002,Ms. Kapoor,Assigned
S040,0,Yellow,M002,Ms. Kapoor,Assigned
S041,2,Red,M004,Dr. Sen,Assigned
S042,2,Red,M004,Dr. Sen,Assigned
S043,2,Red,M004,Dr. Sen,Assigned
S044,2,Red,M004,Dr. Sen,Assigned
S045,2,Yellow,M004,Dr. Sen,Assigned
S046,2,Red,M004,Dr. Sen,Assigned
S047,2,Red,M004,Dr. Sen,Assigned
S048,2,Yellow,M004,Dr. Sen,Assigned
S049,2,Red,M002,Ms. Kapoor,Assigned
S050,2,Yellow,M002,Ms. Kapoor,Assigned
S051,2,Red,M002,Ms. Kapoor,Assigned
S052,2,Red,M003,Mr. Iyer,Assigned
S053,2,Red,M003,Mr. Iyer,Assigned
S054,2,Red,M003,Mr. Iyer,Assigned
S055,2,Red,M003,Mr. Iyer,Assigned
S056,2,Red,M003,Mr. Iyer,Assigned
S057,2,Red,M003,Mr. Iyer,Assigned
S058,2,Red,M003,Mr. Iyer,Assigned
S059,2,Red,M003,Mr. Iyer,Assigned
S060,2,Red,M003,Mr. Iyer,Assigned
S061,2,Red,M003,Mr. Iyer,Assigned
