student_id,cluster,risk_category,mentor_id,mentor_name,mentor_expertise,intervention,assignment_status,alert
S001,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S002,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S003,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S004,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S005,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S006,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S007,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S008,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S009,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S010,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S011,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S012,0,Yellow,M002,Ms. Kapoor,career,Career Direction,Assigend,False
S013,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S014,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S015,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S016,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S017,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S018,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S019,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S020,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S021,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S022,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S023,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S024,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S025,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S026,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S027,0,Yellow,M001,Dr. Sharma,career,Career Direction,Assigend,False
S028,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S029,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S030,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S031,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S032,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S033,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S034,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S035,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S036,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S037,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S038,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S039,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S040,0,Yellow,M005,Ms. Rao,career,Career Direction,Assigend,False
S041,2,Red,M004,Dr. Sen,wellness,Wellness Stabilization,Assigend,True
S042,2,Red,M004,Dr. Sen,wellness,Wellness Stabilization,Assigend,True
S043,2,Red,M004,Dr. Sen,wellness,Wellness Stabilization,Assigend,True
S044,2,Red,M004,Dr. Sen,wellness,Wellness Stabilization,Assigend,True
S045,2,Yellow,M004,Dr. Sen,wellness,Wellness Stabilization,Assigend,True
S046,2,Red,M004,Dr. Sen,wellness,Wellness Stabilization,Assigend,True
S047,2,Red,M004,Dr. Sen,wellness,Wellness Stabilization,Assigend,True
S048,2,Yellow,M004,Dr. Sen,wellness,Wellness Stabilization,Assigend,True
S049,2,Red,M005,Ms. Rao,wellness,Wellness Stabilization,Assigend,True
S050,2,Yellow,M005,Ms. Rao,wellness,Wellness Stabilization,Assigend,True
S051,2,Red,M005,Ms. Rao,wellness,Wellness Stabilization,Assigend,True
S052,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S053,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S054,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S055,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S056,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S057,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S058,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S059,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S060,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S061,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S062,2,Red,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S063,2,Yellow,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S064,2,Yellow,M003,Mr. Iyer,wellness,Wellness Stabilization,Assigend,True
S065,2,Yellow,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S066,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S067,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S068,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S069,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S070,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S071,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S072,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S073,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S074,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S075,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S076,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S077,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S078,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S079,2,Yellow,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S080,2,Red,,Pending Assignment,wellness,Wellness Stabilization,Pending,True
S081,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S082,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
